	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
0	0	0.000881132	0	0.000247434
1	-0.00103529	0.00109007	-0.001787	0.00051335
2	-0.000255087	0.00110602	0.00138835	0.000527393
3	0.000203232	0.00117792	0.00242936	0.000598655
4	-0.00089372	0.00116895	0.00354373	0.000588085
5	-0.00219171	0.00112288	0.00190051	0.000543123
6	-0.000180313	0.00113612	0.002234	0.000559874
7	0.000668656	0.00114918	0.00321517	0.000572992
8	-0.000895861	0.00115075	0.00137821	0.000568836
9	-0.00147465	0.001168	0.00475474	0.000587135
10	-0.0017004	0.00119436	0.00681754	0.000608074
11	-0.00269879	0.00126079	0.00926431	0.000672393
12	-0.00125377	0.00131709	0.0114065	0.000718109
13	-0.00375279	0.00138326	0.0159666	0.000777526
14	-0.005141	0.00157953	0.0236558	0.000927264
15	-0.00507938	0.00187149	0.0343064	0.00112256
16	-0.00688905	0.00211007	0.0449418	0.00126695
17	-0.00815698	0.00222614	0.0646371	0.00133498
18	-0.0291572	0.00192545	0.36182	0.00116814
19	-0.0608931	0.00203846	0.788631	0.00123375
20	-0.0984967	0.00229962	1.21461	0.00135476
21	-0.164406	0.00221965	1.86105	0.00131994
22	-0.248878	0.00225129	2.66254	0.00133491
23	-0.311588	0.00218292	3.1627	0.00131367
24	-0.399803	0.00213116	3.83267	0.00128043
25	-0.477725	0.00233351	4.40122	0.0013768
26	-0.543063	0.00214745	4.818	0.00128471
27	-0.629827	0.00212955	5.37652	0.00127469
28	-0.711213	0.00230283	5.8232	0.00136825
29	-0.783828	0.00226747	6.23356	0.00133839
30	-0.881199	0.00216407	6.75623	0.00128502
31	-0.96145	0.00207805	7.16603	0.00124698
32	-1.02371	0.00221125	7.48235	0.00133065
33	-1.07302	0.0022021	7.71988	0.00131096
34	-1.11178	0.00216888	7.89097	0.00131354
35	-1.13852	0.00214553	8.01893	0.00130562
36	-1.15193	0.00202985	8.0867	0.00121035
37	-1.14561	0.00209096	8.05502	0.00126266
38	-1.13336	0.00213641	8.00899	0.00129633
39	-1.12414	0.00200548	7.96838	0.00121104
40	-1.11687	0.00209017	7.92732	0.00125658
41	-1.1087	0.00225061	7.8935	0.00135958
42	-1.10076	0.00213859	7.86505	0.00128946
