	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
0	0	0.00140432	0	1.67993e-05	0	0.00102314	0	0.000100777
1	0.00100409	0.00199741	0.000267207	0.00112302	-0.00485543	0.00175579	-0.00145518	0.00108327
2	0.000427531	0.00214976	-0.00214138	0.00125887	-0.000802992	0.0017423	-0.00108847	0.00108262
3	0.00212092	0.00207129	-0.000911189	0.00117805	0.000398434	0.00169248	-0.00135823	0.00102135
4	0.0021179	0.00201916	-2.53323e-05	0.00114099	0.00147203	0.00181629	-0.00184663	0.00113903
5	0.00210117	0.00193688	-0.00156384	0.00102881	-0.00116054	0.00179219	-0.0019466	0.00112325
6	0.00420795	0.00215957	-0.00115795	0.00125388	-0.00172706	0.00173923	-0.0021141	0.00107292
7	0.00298329	0.00207764	-0.00237408	0.00118474	-0.00172052	0.00171335	-0.00312155	0.00104749
8	0.000593057	0.00208933	-0.00149191	0.00118119	-0.0004331	0.00167633	-0.00246654	0.00101321
9	0.00366287	0.00202073	-0.00408639	0.00112276	-0.00104375	0.00180301	-0.00407572	0.00112371
10	0.00381372	0.00207084	-0.00383074	0.00118608	0.000422206	0.00172357	-0.00367579	0.0010533
11	0.0011794	0.00226011	-0.00546142	0.00136796	-3.3847e-05	0.00176208	-0.00552758	0.00109278
12	0.00656047	0.0019698	-0.00378237	0.00109645	0.0010082	0.00183794	-0.00621235	0.00115989
13	0.00297809	0.00207943	-0.00449231	0.00120884	0.000229619	0.00199495	-0.00753858	0.0012945
14	0.00381021	0.00215692	-0.00625106	0.00128621	-4.52941e-05	0.00193641	-0.00590989	0.00124721
15	0.00240599	0.00210438	-0.0086346	0.00123222	0.000839151	0.00180344	-0.00607962	0.00114011
16	0.00226066	0.00213857	-0.00717022	0.0012813	0.00175935	0.00189075	-0.00515001	0.00120414
17	0.00372186	0.00220633	-0.00691859	0.00132803	-0.000485169	0.00195344	-0.00708137	0.00126275
18	0.0040433	0.00220261	-0.00819515	0.00131484	0.00153486	0.00187401	-0.00593344	0.00119515
19	0.000841695	0.00218189	-0.0110207	0.00131709	-0.00126385	0.00197359	-0.00928281	0.00126356
20	0.00358275	0.00234509	-0.00748713	0.00143462	-0.000525549	0.00194477	-0.00731228	0.00125158
21	0.00524234	0.00229663	-0.0115317	0.00139548	0.000975519	0.0019477	-0.00932102	0.00124849
22	0.00669555	0.00242334	-0.0107249	0.00151081	0.00290604	0.00197676	-0.00814509	0.00129028
23	0.00206746	0.00216966	-0.0124094	0.00129223	0.00154966	0.0020535	-0.0111896	0.00134125
24	0.00656185	0.002305	-0.00989443	0.00140024	0.000784503	0.00195988	-0.00870101	0.00126251
25	0.000588499	0.00232671	-0.0152585	0.00144807	0.000882434	0.00206792	-0.0123037	0.00136068
26	0.00657476	0.00227975	-0.0117846	0.00140472	0.000996701	0.00200111	-0.00882744	0.0013034
27	0.00657124	0.00244588	-0.0114846	0.00155197	0.00349132	0.00206529	-0.012694	0.00134479
28	0.00474578	0.00264273	-0.0120869	0.00168414	-0.000595097	0.00211384	-0.00906795	0.00139435
29	0.00342466	0.00235992	-0.0134553	0.00147141	0.00147366	0.00197543	-0.00937181	0.00127747
30	0.00756675	0.00260064	-0.0128331	0.00167438	0.00166977	0.00216478	-0.0131854	0.00142509
31	0.00543224	0.0024682	-0.0120924	0.00158316	0.00213224	0.00199327	-0.0110943	0.00129503
32	0.00521389	0.00268332	-0.015014	0.00173014	0.00207374	0.00218535	-0.0121085	0.00145018
33	0.0043177	0.00247054	-0.0150957	0.00155665	0.00130596	0.00216472	-0.0126347	0.00143183
34	0.00771528	0.00262058	-0.0158822	0.00169314	0.000240908	0.00203173	-0.0117459	0.00132277
