	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
0	0	0.00097149	0	0.000115311
1	0.0021607	0.00139493	-0.000440466	0.000731822
2	-0.000286897	0.00136413	0.00128145	0.000701235
3	-0.000102999	0.00147582	0.00118131	0.000812717
4	-3.5875e-06	0.0014493	0.00198798	0.000782788
5	0.00162542	0.00148861	0.00059814	0.00082138
6	-0.0022023	0.001503	0.00351064	0.000834457
7	-0.00174801	0.00137422	0.0013099	0.000712542
8	0.000839639	0.00145568	0.00574079	0.000793042
9	4.26488e-05	0.00141116	0.00256385	0.00075033
10	-0.00132271	0.00138213	0.00701199	0.000723813
11	-0.000758279	0.00143822	0.00342352	0.000772288
12	0.000445066	0.00148113	0.00773411	0.000810941
13	-0.000589773	0.00145846	0.00484706	0.000794344
14	0.000429657	0.00149362	0.00833004	0.00082525
15	-0.000373932	0.00144868	0.00863333	0.000783273
16	0.000186031	0.00148918	0.00777316	0.000821949
17	-0.00114014	0.001637	0.0101203	0.000947415
18	-0.00174332	0.00150481	0.0104196	0.000833313
19	-0.00227137	0.00153934	0.011322	0.00085915
20	-0.000970921	0.00151033	0.00940685	0.000841474
21	0.000360395	0.00158978	0.0125114	0.000910322
22	-0.00183615	0.00148359	0.010431	0.000816347
23	-0.000302241	0.00157286	0.0143146	0.000896455
24	-0.00013327	0.00157341	0.0124196	0.000895072
25	4.4554e-05	0.00152391	0.0143917	0.000849364
26	-0.00142149	0.00166538	0.0165573	0.000971809
27	-0.00162552	0.00167211	0.0179966	0.000978827
28	-0.00186735	0.00170747	0.017112	0.00100485
29	-0.00124025	0.00167021	0.0193164	0.000974269
30	6.65073e-05	0.00170027	0.0189332	0.000998669
31	-0.00357862	0.00171895	0.0186581	0.00101552
32	-0.00345183	0.00171747	0.0227007	0.0010126
33	-0.0011358	0.00173291	0.0218897	0.0010269
34	-0.00261534	0.00175973	0.0213356	0.0010527
35	0.00146201	0.00180869	0.0221625	0.0010853
36	-0.00127863	0.00185598	0.0229638	0.00112194
37	-0.00148134	0.00178692	0.0225442	0.00106987
38	-0.00089012	0.00187617	0.0250458	0.00113666
39	-0.00289905	0.00191207	0.0259044	0.00116159
40	-0.0025848	0.00190349	0.0262764	0.00115855
